Species Group,Number of Species,Evaluated,Data Deficient,Not Threatened,Endangered,% of Evaluated That Are Endangered,subtract,Not Evaluated
Corals,6323.00,940.00,142.00,463.00,335.00,0.42,4443,4443
Elasmobranchs,1189.00,530.00,149.00,661.00,379.00,0.36,-530,0
Birds,641.00,375.00,2.00,252.00,121.00,0.32,-109,0
Mammals,135.00,119.00,10.00,78.00,31.00,0.28,-103,0
Plants,7600.00,192.00,61.00,104.00,27.00,0.21,7216,7216
Reptiles,110.00,62.00,19.00,34.00,9.00,0.21,-14,0
Molluscs,47000.00,1558.00,439.00,933.00,186.00,0.17,43884,43884
Echinoderms,7292.00,205.00,98.00,90.00,17.00,0.16,6882,6882
Arthropods,50682.00,194.00,59.00,124.00,11.00,0.08,50294,50294
Fishes,16733.00,11123.00,2145.00,8680.00,298.00,0.03,-5513,0
Sponges,8553.00,24.00,23.00,1.00,0.00,0.00,8505,8505
Protists,21021.00,0.00,0.00,0.00,0.00,NA,21021,21021
Bacteria,20000.00,0.00,0.00,0.00,0.00,NA,20000,20000
Annelids,14000.00,0.00,0.00,0.00,0.00,NA,14000,14000
