"source","region","category","year","mean","lower_ci_80","higher_ci_80","lower_ci_95","higher_ci_95"
"Souter et al. 2021","Global","Hard coral",1978,32.34,27.78,36.98,24.26,38.73
"Souter et al. 2021","Global","Hard coral",1979,32.3,27.62,36.46,24.61,41.27
"Souter et al. 2021","Global","Hard coral",1983,32.39,28.12,36.32,26.11,39.77
"Souter et al. 2021","Global","Hard coral",1984,32.32,27.37,36.23,25.27,39.12
"Souter et al. 2021","Global","Hard coral",1985,32.36,27.86,36.26,25.14,38.54
"Souter et al. 2021","Global","Hard coral",1986,32.2,27.62,35.89,25.4,38.19
"Souter et al. 2021","Global","Hard coral",1987,32.12,28.19,35.39,25.76,38.06
"Souter et al. 2021","Global","Hard coral",1988,32.11,27.26,34.53,27.19,37.81
"Souter et al. 2021","Global","Hard coral",1989,32.15,28.22,35.24,26.72,37.73
"Souter et al. 2021","Global","Hard coral",1990,32.28,29,36.22,27.23,37.84
"Souter et al. 2021","Global","Hard coral",1991,32.44,28.81,35.32,27.28,37.6
"Souter et al. 2021","Global","Hard coral",1992,32.41,29.21,35.37,27.9,37.45
"Souter et al. 2021","Global","Hard coral",1993,32.5,29.7,35.38,27.61,36.72
"Souter et al. 2021","Global","Hard coral",1994,32.54,29.95,35.63,27.95,36.5
"Souter et al. 2021","Global","Hard coral",1995,32.47,30.42,35.05,28.33,35.77
"Souter et al. 2021","Global","Hard coral",1996,32.47,30.35,34.3,28.67,35.79
"Souter et al. 2021","Global","Hard coral",1997,32.5,30.85,34.4,29.51,35.09
"Souter et al. 2021","Global","Hard coral",1998,31.72,30.12,33.44,28.83,34
"Souter et al. 2021","Global","Hard coral",1999,30.6,29.08,32.34,28.28,33.49
"Souter et al. 2021","Global","Hard coral",2000,30.29,28.56,31.45,27.85,32.76
"Souter et al. 2021","Global","Hard coral",2001,30.05,28.84,31.57,27.98,32.37
"Souter et al. 2021","Global","Hard coral",2002,29.98,28.58,31.08,27.55,31.73
"Souter et al. 2021","Global","Hard coral",2003,30.33,28.86,31.32,28.46,32.53
"Souter et al. 2021","Global","Hard coral",2004,30.51,29.17,31.53,28.51,32.63
"Souter et al. 2021","Global","Hard coral",2005,31.13,29.67,32.11,29.29,33.08
"Souter et al. 2021","Global","Hard coral",2006,31.62,30.07,32.7,29.81,33.86
"Souter et al. 2021","Global","Hard coral",2007,32.33,31.04,33.34,30.61,34.38
"Souter et al. 2021","Global","Hard coral",2008,32.64,31.54,33.69,30.75,34.22
"Souter et al. 2021","Global","Hard coral",2009,33.3,32.32,34.37,31.68,35
"Souter et al. 2021","Global","Hard coral",2010,32.62,31.7,33.76,30.98,34.16
"Souter et al. 2021","Global","Hard coral",2011,31.71,30.8,32.66,30.17,33.17
"Souter et al. 2021","Global","Hard coral",2012,31.4,30.22,32.45,29.58,33
"Souter et al. 2021","Global","Hard coral",2013,31.51,30.46,32.68,29.66,33.4
"Souter et al. 2021","Global","Hard coral",2014,30.95,29.65,31.95,28.9,33.27
"Souter et al. 2021","Global","Hard coral",2015,31.02,29.83,32.41,28.51,33.27
"Souter et al. 2021","Global","Hard coral",2016,30.08,28.69,31.35,28.13,32.17
"Souter et al. 2021","Global","Hard coral",2017,28.99,27.77,30.4,27.05,31.26
"Souter et al. 2021","Global","Hard coral",2018,28.8,27.37,30.15,26.88,31.3
"Souter et al. 2021","Global","Hard coral",2019,29.52,27.72,30.64,27.16,32
"Souter et al. 2021","Australia","Hard coral",1978,35.17,21.07,47.7,16.92,57.67
"Souter et al. 2021","Australia","Hard coral",1979,35.39,20.55,46.24,18.7,59.07
"Souter et al. 2021","Australia","Hard coral",1983,35.32,21.38,46.06,17.17,55.5
"Souter et al. 2021","Australia","Hard coral",1984,35.44,23.58,48.34,14.07,53.2
"Souter et al. 2021","Australia","Hard coral",1985,35.41,23.53,46.36,18.8,56.08
"Souter et al. 2021","Australia","Hard coral",1986,35.46,25.76,47.68,17.62,52.81
"Souter et al. 2021","Australia","Hard coral",1987,35.49,24.78,44.05,19.81,54.4
"Souter et al. 2021","Australia","Hard coral",1988,35.37,25.24,44.07,19.89,50.8
"Souter et al. 2021","Australia","Hard coral",1989,35.12,27.24,44.35,18.74,48.77
"Souter et al. 2021","Australia","Hard coral",1990,35.2,26.52,41.83,22.62,49.62
"Souter et al. 2021","Australia","Hard coral",1991,35.39,28.14,43.55,23.91,49.7
"Souter et al. 2021","Australia","Hard coral",1992,35.41,27.96,41.56,24.99,48.73
"Souter et al. 2021","Australia","Hard coral",1993,35.45,27.6,40.89,24.06,46.69
"Souter et al. 2021","Australia","Hard coral",1994,35.24,29.17,40.39,25.39,45.34
"Souter et al. 2021","Australia","Hard coral",1995,35.2,30.03,39.56,26.08,42.67
"Souter et al. 2021","Australia","Hard coral",1996,34.85,31.8,37.94,26.04,40.38
"Souter et al. 2021","Australia","Hard coral",1997,34.5,31.33,36.97,28.39,40.54
"Souter et al. 2021","Australia","Hard coral",1998,34.71,31.92,37.03,29.14,39.43
"Souter et al. 2021","Australia","Hard coral",1999,34.48,31.19,36.28,27.82,38.37
"Souter et al. 2021","Australia","Hard coral",2000,32.82,30.18,34.94,26.33,37.39
