Year,Wmean,WmeanDouble,Wmean10
1950,0.995308562,0.990862882,0.985726981
1951,0.995226555,0.990707391,0.985485936
1952,0.995110388,0.990487373,0.985144962
1953,0.994961338,0.990205482,0.98470828
1954,0.994780708,0.989864485,0.984180305
1955,0.99456983,0.989467237,0.983565606
1956,0.994330058,0.989016668,0.982868879
1957,0.99406276,0.988515759,0.982094913
1958,0.993769319,0.98796753,0.981248556
1959,0.993451126,0.987375018,0.980334686
1960,0.993109575,0.986741267,0.979358189
1961,0.992746061,0.98606931,0.978323924
1962,0.992361978,0.985362155,0.97723671
1963,0.99195871,0.984622777,0.976101295
1964,0.991537635,0.983854103,0.974922348
1965,0.991100119,0.983059005,0.973704431
1966,0.99064751,0.982240292,0.972451994
1967,0.990181143,0.981400699,0.971169361
1968,0.989702333,0.980542885,0.969860715
1969,0.989212372,0.979669428,0.968530098
1970,0.988712534,0.978782819,0.967181401
1971,0.988204064,0.97788546,0.965818357
1972,0.987688188,0.976979664,0.964444547
1973,0.987166101,0.976067651,0.96306339
1974,0.986638976,0.975151552,0.96167815
1975,0.986107956,0.974233403,0.960291934
1976,0.985574159,0.973315155,0.958907695
1977,0.985038674,0.972398667,0.957528238
1978,0.984502562,0.971485716,0.956156221
1979,0.983966861,0.970577992,0.954794162
1980,0.983432576,0.969677107,0.953444445
1981,0.982900691,0.968784599,0.952109326
1982,0.98237216,0.967901928,0.950790937
1983,0.981847914,0.967030489,0.949491295
1984,0.981328859,0.96617161,0.948212309
1985,0.980815877,0.965326558,0.946955787
1986,0.980309827,0.964496543,0.945723441
1987,0.979811548,0.963682724,0.944516896
1988,0.979321855,0.962886209,0.943337698
1989,0.978841548,0.962108062,0.942187317
1990,0.978371405,0.961349309,0.941067161
1991,0.977912189,0.960610937,0.939978574
1992,0.977464645,0.959893904,0.93892285
1993,0.977029507,0.959199137,0.937901237
1994,0.976607494,0.95852754,0.936914943
1995,0.976199313,0.957879998,0.935965142
1996,0.975805662,0.957257378,0.935052982
1997,0.97542723,0.956660535,0.93417959
1998,0.975064698,0.956090315,0.933346079
1999,0.974718743,0.955547557,0.932553553
2000,0.974390037,0.955033099,0.931803113
2001,0.974079251,0.954547783,0.931095862
2002,0.973787053,0.954092453,0.930432915
2003,0.973514114,0.953667963,0.929815399
2004,0.973261108,0.953275179,0.929244464
2005,0.973028711,0.952914984,0.928721286
2006,0.972817609,0.952588281,0.928247075
2007,0.972628494,0.952295995,0.927823081
2008,0.972462069,0.952039079,0.927450599
2009,0.972319049,0.95181852,0.927130979
2010,0.972200165,0.951635339,0.926865632
2011,0.972106164,0.951490598,0.926656036
2012,0.972037811,0.951385405,0.926503747
2013,0.971995894,0.951320921,0.926410408
2014,0.971981227,0.95129836,0.926377754
2015,0.971994647,0.951319002,0.92640763
2016,0.972037025,0.951384196,0.926501996
2017,0.972109262,0.951495368,0.926662942
2018,0.972212299,0.951654029,0.926892701
2019,0.972347115,0.951861786,0.927193665
2020,0.972514733,0.952120348,0.927568403
