Year,Demersal,Benthopelagic,Pelagic,Mean_scaled_sum,Mean_scaled_mean
1954,-0.9,-0.5,,-1.4,-0.7
1955,-1.1,-0.7,,-1.8,-0.9
1956,-1.4,-1.1,,-2.5,-1.25
1957,-1.7,-1.5,,-3.2,-1.6
1958,-1.47,-1.27,,-2.74,-1.37
1959,-1.23,-1.03,,-2.26,-1.13
1960,-1.0,-0.8,,-1.8,-0.9
1961,-0.83,-0.63,,-1.46,-0.73
1962,-0.67,-0.47,,-1.1400000000000000,-0.5700000000000000
1963,-0.5,-0.3,,-0.8,-0.4
1964,-0.23,-0.07,,-0.30000000000000000,-0.15000000000000000
1965,0.03,0.17,-0.6,-0.40000000000000000,-0.13333333333333300
1966,0.3,0.4,-0.5,0.20000000000000000,0.06666666666666670
1967,1.1,0.2,-0.4,0.9,0.3
1968,0.0,0.0,-0.3,-0.3,-0.10000000000000000
1969,-0.65,-0.25,-0.15,-1.05,-0.35000000000000000
1970,-1.3,-0.5,0.0,-1.8,-0.6
1971,-1.0,-0.35,0.1,-1.25,-0.4166666666666670
1972,-0.7,-0.2,0.2,-0.7,-0.2333333333333330
1973,-0.57,-0.13,0.3,-0.40000000000000000,-0.13333333333333300
1974,-0.43,-0.07,0.6,0.10000000000000000,0.033333333333333300
1975,-0.3,0.0,0.9,0.6000000000000000,0.20000000000000000
1976,-0.15,0.7,1.2,1.75,0.5833333333333330
1977,0.0,0.3,0.7,1.0,0.3333333333333330
1978,0.5,-0.1,0.2,0.6000000000000000,0.20000000000000000
1979,0.0,-0.2,-0.05,-0.25,-0.08333333333333330
1980,-0.5,-0.3,-0.3,-1.1,-0.3666666666666670
1981,-0.65,-0.25,-0.43,-1.33,-0.44333333333333300
1982,-0.8,-0.2,-0.57,-1.5700000000000000,-0.5233333333333330
1983,-0.67,-0.2,-0.7,-1.57,-0.5233333333333330
1984,-0.53,-0.2,-0.9,-1.63,-0.5433333333333330
1985,-0.4,-0.2,-1.1,-1.7000000000000000,-0.5666666666666670
1986,-0.47,-0.17,-0.93,-1.57,-0.5233333333333330
1987,-0.53,-0.13,-0.77,-1.4300000000000000,-0.47666666666666700
1988,-0.6,-0.1,-0.6,-1.3000000000000000,-0.4333333333333330
1989,-0.45,-0.1,-0.45,-1.0,-0.3333333333333330
1990,-0.3,-0.1,-0.3,-0.7,-0.2333333333333330
1991,-0.37,-0.1,-0.27,-0.74,-0.24666666666666700
1992,-0.43,-0.1,-0.23,-0.76,-0.25333333333333300
1993,-0.5,-0.1,-0.2,-0.8,-0.26666666666666700
1994,-0.35,-0.05,-0.1,-0.5,-0.16666666666666700
1995,-0.2,0.0,0.0,-0.2,-0.06666666666666670
1996,-0.1,0.0,0.05,-0.05,-0.016666666666666700
1997,0.0,0.0,0.1,0.1,0.03333333333333330
1998,0.0,0.03,0.07,0.1,0.03333333333333330
1999,0.0,0.07,0.03,0.1,0.03333333333333330
2000,0.0,0.1,0.0,0.1,0.03333333333333330
2001,-0.05,0.13,0.07,0.15000000000000000,0.05000000000000000
2002,-0.1,0.17,0.13,0.2,0.06666666666666670
2003,-0.17,0.2,0.2,0.23,0.07666666666666670
2004,-0.23,0.15,0.25,0.17000000000000000,0.056666666666666700
2005,-0.3,0.1,0.3,0.1,0.03333333333333330
2006,0.0,0.15,0.4,0.55,0.18333333333333300
2007,0.3,0.2,0.5,1.0,0.3333333333333330
2008,0.5,0.17,0.8,1.4700000000000000,0.49000000000000000
2009,0.3,0.13,0.55,0.98,0.32666666666666700
2010,0.1,0.1,0.3,0.5,0.16666666666666700
2011,0.3,0.13,0.45,0.88,0.29333333333333300
2012,0.5,0.17,0.6,1.27,0.42333333333333300
2013,0.6,0.2,0.4,1.2000000000000000,0.4000000000000000
