Family;Genus;Species;Year;Sub-Region;Month;Season;Period;Gear_Name;Catchability;Tot.Weight_(t);Tot.Density_(t/km2);Volume_(m3);Surface_(m2);Mean_Depth_Catch;Case;Reference,,,,,,,,,,,
Gonostomatidae;Cyclothone;braueri;1994;West;April;Spring;D;BIONESS;0.16;NA;0.577307564;NA;0;625;3;Andersen V.,,,,,,,,,,,
Gonostomatidae;Cyclothone;braueri;1994;West;April;Spring;N;BIONESS;0.17;NA;0.878598924;NA;0;575;3;Andersen V.,,,,,,,,,,,
Gonostomatidae;Cyclothone;braueri;1994;West;April;Spring;NA;BIONESS;0.18;NA;0.439299462;NA;0;700;3;Andersen V.,,,,,,,,,,,
Gonostomatidae;Cyclothone;pygmaea;1994;West;April;Spring;D;BIONESS;0.19;NA;0.577307564;NA;0;625;3;Andersen V.,,,,,,,,,,,
Gonostomatidae;Cyclothone;pygmaea;1994;West;April;Spring;N;BIONESS;0.20;NA;1.317898386;NA;0;616.666666666667;3;Andersen V.,,,,,,,,,,,
Gonostomatidae;Cyclothone;braueri;2009;West;NA;Winter;NA;IKMT+RMT;0.16;NA;0.47381412;NA;NA;150;1;Bernal,,,,,,,,,,,
Gonostomatidae;Cyclothone;braueri;2009;West;NA;Winter;NA;Otter trawl;0.16;NA;0.033418306;NA;NA;335.555555555556;1;Bernal,,,,,,,,,,,
Gonostomatidae;Cyclothone;braueri;2010;West;NA;Summer;NA;IKMT+MOCNESS;0.16;NA;0.987280276;NA;NA;283.846153846154;1;Bernal,,,,,,,,,,,
Gonostomatidae;Cyclothone;braueri;2010;West;NA;Summer;NA;Otter trawl;0.16;NA;0.005382489;NA;NA;274.666666666667;1;Bernal,,,,,,,,,,,
Gonostomatidae;Cyclothone;pygmaea;2009;West;NA;Winter;NA;IKMT+RMT;0.16;NA;0;NA;NA;172.5;1;Bernal,,,,,,,,,,,
Gonostomatidae;Cyclothone;pygmaea;2010;West;NA;Summer;NA;IKMT+MOCNESS;0.16;NA;0.341214555;NA;NA;330.714285714286;1;Bernal,,,,,,,,,,,
Myctophidae;Benthosema;glaciale;2009;West;NA;Winter;NA;IKMT+RMT;0.16;NA;1.045919758;NA;NA;172.5;1;Bernal,,,,,,,,,,,
Myctophidae;Benthosema;glaciale;2009;West;NA;Winter;NA;Otter trawl;0.16;NA;0.480049654;NA;NA;281.666666666667;1;Bernal,,,,,,,,,,,
Myctophidae;Benthosema;glaciale;2010;West;NA;Summer;NA;IKMT+MOCNESS;0.16;NA;0.3212906;NA;NA;300.833333333333;1;Bernal,,,,,,,,,,,
Myctophidae;Benthosema;glaciale;2010;West;NA;Summer;NA;Otter trawl;0.16;NA;2.465432747;NA;NA;323.333333333333;1;Bernal,,,,,,,,,,,
Myctophidae;Ceratoscopelus;maderensis;2009;West;NA;Winter;NA;IKMT+RMT;0.16;NA;1.826530771;NA;NA;172.5;1;Bernal,,,,,,,,,,,
Myctophidae;Ceratoscopelus;maderensis;2009;West;NA;Winter;NA;Otter trawl;0.16;NA;4.078816548;NA;NA;281.666666666667;1;Bernal,,,,,,,,,,,
Myctophidae;Ceratoscopelus;maderensis;2010;West;NA;Summer;NA;IKMT+MOCNESS;0.16;NA;0.571135755;NA;NA;333.333333333333;1;Bernal,,,,,,,,,,,
Myctophidae;Ceratoscopelus;maderensis;2010;West;NA;Summer;NA;Otter trawl;0.16;NA;24.770747915;NA;NA;221.818181818182;1;Bernal,,,,,,,,,,,
Myctophidae;Diaphus;holti;2009;West;NA;Winter;NA;IKMT+RMT;0.16;NA;0.042188483;NA;NA;172.5;1;Bernal,,,,,,,,,,,
Myctophidae;Diaphus;holti;2009;West;NA;Winter;NA;Otter trawl;0.16;NA;0.047435871;NA;NA;281.666666666667;1;Bernal,,,,,,,,,,,
Myctophidae;Diaphus;holti;2010;West;NA;Summer;NA;IKMT+MOCNESS;0.16;NA;0;NA;NA;385;1;Bernal,,,,,,,,,,,
Myctophidae;Diaphus;holti;2010;West;NA;Summer;NA;Otter trawl;0.16;NA;0.596972269;NA;NA;259.166666666667;1;Bernal,,,,,,,,,,,
Myctophidae;Electrona;rissoi;2009;West;NA;Winter;NA;IKMT+RMT;0.16;NA;0;NA;NA;172.5;1;Bernal,,,,,,,,,,,
Myctophidae;Electrona;rissoi;2009;West;NA;Winter;NA;Otter trawl;0.16;NA;0.13979985;NA;NA;281.666666666667;1;Bernal,,,,,,,,,,,
Myctophidae;Electrona;rissoi;2010;West;NA;Summer;NA;IKMT+MOCNESS;0.16;NA;0.178198208;NA;NA;329.333333333333;1;Bernal,,,,,,,,,,,
Myctophidae;Electrona;rissoi;2010;West;NA;Summer;NA;Otter trawl;0.16;NA;0.413807554;NA;NA;267.857142857143;1;Bernal,,,,,,,,,,,
Myctophidae;Hygophum;benoiti;2009;West;NA;Winter;NA;IKMT+RMT;0.16;NA;0.171140095;NA;NA;172.5;1;Bernal,,,,,,,,,,,
Myctophidae;Hygophum;benoiti;2009;West;NA;Winter;NA;Otter trawl;0.16;NA;0.920434319;NA;NA;281.666666666667;1;Bernal,,,,,,,,,,,
Myctophidae;Hygophum;benoiti;2010;West;NA;Summer;NA;IKMT+MOCNESS;0.16;NA;0.221848272;NA;NA;315;1;Bernal,,,,,,,,,,,
Myctophidae;Hygophum;benoiti;2010;West;NA;Summer;NA;Otter trawl;0.16;NA;70.708191453;NA;NA;208.333333333333;1;Bernal,,,,,,,,,,,
Myctophidae;Hygophum;hygomii;2009;West;NA;Winter;NA;Otter trawl;0.16;NA;0.013700881;NA;NA;281.666666666667;1;Bernal,,,,,,,,,,,
Myctophidae;Hygophum;hygomii;2010;West;NA;Summer;NA;Otter trawl;0.16;NA;0.368772117;NA;NA;221.818181818182;1;Bernal,,,,,,,,,,,
Myctophidae;Lampanyctus;crocodilus;2009;West;NA;Winter;NA;IKMT+RMT;0.16;NA;0.117911129;NA;NA;172.5;1;Bernal,,,,,,,,,,,
Myctophidae;Lampanyctus;crocodilus;2009;West;NA;Winter;NA;Otter trawl;0.16;NA;8.400462715;NA;NA;281.666666666667;1;Bernal,,,,,,,,,,,
Myctophidae;Lampanyctus;crocodilus;2010;West;NA;Summer;NA;IKMT+MOCNESS;0.16;NA;0.096472742;NA;NA;333.333333333333;1;Bernal,,,,,,,,,,,
Myctophidae;Lampanyctus;crocodilus;2010;West;NA;Summer;NA;Otter trawl;0.16;NA;0.491363532;NA;NA;224.615384615385;1;Bernal,,,,,,,,,,,
Myctophidae;Lampanyctus;pusillus;2009;West;NA;Winter;NA;IKMT+RMT;0.16;NA;0.216700087;NA;NA;172.5;1;Bernal,,,,,,,,,,,
Myctophidae;Lampanyctus;pusillus;2009;West;NA;Winter;NA;Otter trawl;0.16;NA;0.110281657;NA;NA;281.666666666667;1;Bernal,,,,,,,,,,,
Myctophidae;Lampanyctus;pusillus;2010;West;NA;Summer;NA;IKMT+MOCNESS;0.16;NA;0.114369491;NA;NA;315;1;Bernal,,,,,,,,,,,
Myctophidae;Lampanyctus;pusillus;2010;West;NA;Summer;NA;Otter trawl;0.16;NA;0.22122216;NA;NA;229;1;Bernal,,,,,,,,,,,
Myctophidae;Lobianchia;dofleini;2009;West;NA;Winter;NA;IKMT+RMT;0.16;NA;0.264403454;NA;NA;172.5;1;Bernal,,,,,,,,,,,
Myctophidae;Lobianchia;dofleini;2009;West;NA;Winter;NA;Otter trawl;0.16;NA;0.197679739;NA;NA;281.666666666667;1;Bernal,,,,,,,,,,,
Myctophidae;Lobianchia;dofleini;2010;West;NA;Summer;NA;IKMT+MOCNESS;0.16;NA;0.053959889;NA;NA;333.333333333333;1;Bernal,,,,,,,,,,,
Myctophidae;Lobianchia;dofleini;2010;West;NA;Summer;NA;Otter trawl;0.16;NA;1.083981015;NA;NA;247.777777777778;1;Bernal,,,,,,,,,,,
Myctophidae;Myctophum;punctatum;2009;West;NA;Winter;NA;IKMT+RMT;0.16;NA;0.059810631;NA;NA;172.5;1;Bernal,,,,,,,,,,,
Myctophidae;Myctophum;punctatum;2009;West;NA;Winter;NA;Otter trawl;0.16;NA;0.048062114;NA;NA;281.666666666667;1;Bernal,,,,,,,,,,,
Myctophidae;Myctophum;punctatum;2010;West;NA;Summer;NA;IKMT+MOCNESS;0.16;NA;0.029209843;NA;NA;333.333333333333;1;Bernal,,,,,,,,,,,
Myctophidae;Myctophum;punctatum;2010;West;NA;Summer;NA;Otter trawl;0.16;NA;1.488559435;NA;NA;247.777777777778;1;Bernal,,,,,,,,,,,
Myctophidae;Notoscopelus;bolini;2009;West;NA;Winter;NA;Otter trawl;0.16;NA;0.127643115;NA;NA;281.666666666667;1;Bernal,,,,,,,,,,,
Myctophidae;Notoscopelus;bolini;2010;West;NA;Summer;NA;Otter trawl;0.16;NA;0.191464673;NA;NA;247.777777777778;1;Bernal,,,,,,,,,,,
Myctophidae;Notoscopelus;elongatus;2009;West;NA;Winter;NA;IKMT+RMT;0.16;NA;0.005806594;NA;NA;172.5;1;Bernal,,,,,,,,,,,
Myctophidae;Notoscopelus;elongatus;2009;West;NA;Winter;NA;Otter trawl;0.16;NA;1.692273829;NA;NA;281.666666666667;1;Bernal,,,,,,,,,,,
Myctophidae;Notoscopelus;elongatus;2010;West;NA;Summer;NA;IKMT+MOCNESS;0.16;NA;0.156778045;NA;NA;333.333333333333;1;Bernal,,,,,,,,,,,
Myctophidae;Notoscopelus;elongatus;2010;West;NA;Summer;NA;Otter trawl;0.16;NA;10.102235254;NA;NA;247.777777777778;1;Bernal,,,,,,,,,,,
Myctophidae;Symbolophorus;veranyi;2009;West;NA;Winter;NA;IKMT+RMT;0.16;NA;0.010617559;NA;NA;172.5;1;Bernal,,,,,,,,,,,
Myctophidae;Symbolophorus;veranyi;2009;West;NA;Winter;NA;Otter trawl;0.16;NA;0.14360778;NA;NA;281.666666666667;1;Bernal,,,,,,,,,,,
Myctophidae;Symbolophorus;veranyi;2010;West;NA;Summer;NA;IKMT+MOCNESS;0.16;NA;0;NA;NA;333.333333333333;1;Bernal,,,,,,,,,,,
Myctophidae;Symbolophorus;veranyi;2010;West;NA;Summer;NA;Otter trawl;0.16;NA;0.671739123;NA;NA;247.777777777778;1;Bernal,,,,,,,,,,,
Paralepididae;Arctozenus;rissoi;2009;West;NA;Winter;NA;Otter trawl;0.16;NA;0.322854032;NA;NA;281.666666666667;1;Bernal,,,,,,,,,,,
Paralepididae;Arctozenus;rissoi;2010;West;NA;Summer;NA;Otter trawl;0.16;NA;1.245977412;NA;NA;247.777777777778;1;Bernal,,,,,,,,,,,
Paralepididae;Lestidiops;jayakari;2009;West;NA;Winter;NA;Otter trawl;0.16;NA;0.247597954;NA;NA;281.666666666667;1;Bernal,,,,,,,,,,,
Paralepididae;Lestidiops;jayakari;2010;West;NA;Summer;NA;Otter trawl;0.16;NA;0.850086309;NA;NA;247.777777777778;1;Bernal,,,,,,,,,,,
Phosichthyidae;Vinciguerria;attenuata;2009;West;NA;Winter;NA;IKMT+RMT;0.16;NA;0.036910305;NA;NA;172.5;1;Bernal,,,,,,,,,,,
Phosichthyidae;Vinciguerria;attenuata;2009;West;NA;Winter;NA;Otter trawl;0.16;NA;0.002155562;NA;NA;281.666666666667;1;Bernal,,,,,,,,,,,
