eventID,institutionCode,cruiseCode,event,net,station,start_latitude,start_longitude,end_latitude,end_longitude,geodeticDatum,start_eventTime,end_eventTime,haulDuration,trackDistance,solarPosition,diel,day_night_method,samplingProtocol,netSystem,bottomDepthInMeters,bottom_depth_method,meanNetTemperature,minimumDepthInMeters,maximumDepthInMeters,medianDepthInMeters,volumeFiltered,volumeFiltered2,verticalTowHeight,towDistance,meanTowSpeed,netSurfaceArea,netType,codendMesh,netMeshSize,haulType,sector,zone,fieldNotes,validation,validationDescription
BAS_JB11_48_1,BAS,JB11,48,1,A,-57.13,-55.138,-57.092,55.485,EPSG:4326,13/01/1991 23:00,14/01/1991 1:00,120,NA,8.932790142,dusk,maptools R,stratified oblique trawl,opening-closing,NA,NA,NA,600,800,NA,222500,NA,200,NA,NA,25,RMT25,5,NA,Station,Atlantic,Subantarctic,Alll sampled;,0,large longitude range
BAS_JB11_48_2,BAS,JB11,48,2,A,-57.118,-55.134,-57.084,55.483,EPSG:4326,14/01/1991 1:00,14/01/1991 3:00,120,NA,-3.75131725,dawn,maptools R,stratified oblique trawl,opening-closing,NA,NA,NA,800,1000,NA,NA,NA,200,NA,NA,25,RMT25,5,NA,Station,Atlantic,Subantarctic,Alll sampled;,0,large longitude range
BAS_JB11_52_2,BAS,JB11,52,2,A,-57.095,-55.452,NA,NA,EPSG:4326,14/01/1991 9:45,14/01/1991 10:48,63,NA,17.09834917,day,maptools R,stratified oblique trawl,opening-closing,NA,NA,NA,795,990,NA,165000,NA,195,NA,NA,25,RMT25,5,NA,Station,Atlantic,Subantarctic,Alll sampled;,1,NA
BAS_JB11_56_1,BAS,JB11,56,1,A,-57.087,-55.18,-57.12,-55.256,EPSG:4326,14/01/1991 15:28,14/01/1991 17:28,120,NA,54.01928131,day,maptools R,stratified oblique trawl,opening-closing,NA,NA,NA,200,400,NA,260000,NA,200,NA,NA,25,RMT25,5,NA,Station,Atlantic,Subantarctic,Alll sampled;,1,NA
BAS_JB11_56_2,BAS,JB11,56,2,A,-57.121,-55.257,NA,NA,EPSG:4326,14/01/1991 17:29,14/01/1991 19:35,126,NA,49.87285732,day,maptools R,stratified oblique trawl,opening-closing,NA,NA,NA,400,600,NA,325000,NA,200,NA,NA,25,RMT25,5,NA,Station,Atlantic,Subantarctic,Alll sampled;,1,NA
BAS_JB11_61_1,BAS,JB11,61,1,A,-57.124,-55.193,-57.143,-55.301,EPSG:4326,14/01/1991 21:47,14/01/1991 23:48,121,NA,18.16803845,day,maptools R,stratified oblique trawl,opening-closing,NA,NA,NA,0,200,NA,262500,NA,200,NA,NA,25,RMT25,5,NA,Station,Atlantic,Subantarctic,Alll sampled;,1,NA
BAS_JB11_62_2,BAS,JB11,62,2,A,-57.106,-55.243,-57.136,-55.343,EPSG:4326,15/01/1991 4:15,15/01/1991 6:15,120,NA,-11.47041457,dawn,maptools R,stratified oblique trawl,opening-closing,NA,NA,NA,400,600,NA,232500,NA,200,NA,NA,25,RMT25,5,NA,Station,Atlantic,Subantarctic,Alll sampled;,1,NA
BAS_JB11_62_1,BAS,JB11,62,1,A,-57.096,-55.149,-57.106,-55.242,EPSG:4326,15/01/1991 2:13,15/01/1991 4:13,120,NA,-9.041115956,dawn,maptools R,stratified oblique trawl,opening-closing,NA,NA,NA,200,400,NA,225000,NA,200,NA,NA,25,RMT25,5,NA,Station,Atlantic,Subantarctic,Alll sampled;,1,NA
BAS_JB11_66_1,BAS,JB11,66,1,A,-57.084,-55.19,-57.07,-55.319,EPSG:4326,15/01/1991 9:50,15/01/1991 11:50,120,NA,17.70050886,day,maptools R,stratified oblique trawl,opening-closing,NA,NA,NA,0,800,NA,210000,NA,800,NA,NA,25,RMT25,5,NA,Station,Atlantic,Subantarctic,"Alll sampled, open to surface; ",1,NA
BAS_JB11_85_1,BAS,JB11,85,1,A,-57.145,-55.241,-57.105,-55.372,EPSG:4326,15/01/1991 22:56,16/01/1991 1:05,129,NA,9.260640668,dusk,maptools R,stratified oblique trawl,opening-closing,NA,NA,NA,600,800,NA,215000,NA,200,NA,NA,25,RMT25,5,NA,Station,Atlantic,Subantarctic,"Alll sampled, no lat longs recorded; ",1,NA
