eventID,occurrenceID,phylum,class,order,family,scientificName,basisOfRecord,individualCount,organismQuantity,organismQuantityType,occurrenceRemarks,rightsHolder,reference
AAD_brokeeast_1_1,AAD_brokeeast_1_1_151398,Chordata,Actinopteri,Perciformes,Artedidraconidae,Artedidraconidae,HumanObservation,1,6.95E-05,n_m3,NA,NA,NA
AAD_brokeeast_1_1,AAD_brokeeast_1_1_217697,Chordata,Actinopteri,Myctophiformes,Myctophidae,Electrona antarctica,HumanObservation,1,6.95E-05,n_m3,NA,NA,NA
AAD_brokeeast_1_1,AAD_brokeeast_1_1_234800,Chordata,Actinopteri,Perciformes,Bathydraconidae,Gymnodraco acuticeps,HumanObservation,1,6.95E-05,n_m3,NA,NA,NA
AAD_brokeeast_1_1,AAD_brokeeast_1_1_234808,Chordata,Actinopteri,Perciformes,Bathydraconidae,Gerlachea australis,HumanObservation,1,6.95E-05,n_m3,NA,NA,NA
AAD_brokeeast_100_1,AAD_brokeeast_100_1_217697,Chordata,Actinopteri,Myctophiformes,Myctophidae,Electrona antarctica,HumanObservation,3,0.000147284,n_m3,NA,NA,NA
AAD_brokeeast_100_1,AAD_brokeeast_100_1_234641,Chordata,Actinopteri,Myctophiformes,Myctophidae,Krefftichthys anderssoni,HumanObservation,1,4.91E-05,n_m3,NA,NA,NA
AAD_brokeeast_100_1,AAD_brokeeast_100_1_712788,Chordata,Actinopteri,Perciformes,Nototheniidae,Pleuragramma antarctica,HumanObservation,1,4.91E-05,n_m3,NA,NA,NA
AAD_brokeeast_101_1,AAD_brokeeast_101_1_217697,Chordata,Actinopteri,Myctophiformes,Myctophidae,Electrona antarctica,HumanObservation,1,0.000237665,n_m3,NA,NA,NA
AAD_brokeeast_102_1,AAD_brokeeast_102_1_217697,Chordata,Actinopteri,Myctophiformes,Myctophidae,Electrona antarctica,HumanObservation,1,0.000145833,n_m3,NA,NA,NA
AAD_brokeeast_102_1,AAD_brokeeast_102_1_234638,Chordata,Actinopteri,Myctophiformes,Myctophidae,Electrona carlsbergi,HumanObservation,1,0.000145833,n_m3,NA,NA,NA
AAD_brokeeast_103_1,AAD_brokeeast_103_1_217697,Chordata,Actinopteri,Myctophiformes,Myctophidae,Electrona antarctica,HumanObservation,29,0.004369747,n_m3,NA,NA,NA
AAD_brokeeast_104_1,AAD_brokeeast_104_1_217697,Chordata,Actinopteri,Myctophiformes,Myctophidae,Electrona antarctica,HumanObservation,7,0.001077823,n_m3,NA,NA,NA
AAD_brokeeast_105_1,AAD_brokeeast_105_1_234828,Chordata,Actinopteri,Perciformes,Nototheniidae,Trematomus loennbergii,HumanObservation,1,5.11E-05,n_m3,NA,NA,NA
AAD_brokeeast_105_1,AAD_brokeeast_105_1_712788,Chordata,Actinopteri,Perciformes,Nototheniidae,Pleuragramma antarctica,HumanObservation,1,5.11E-05,n_m3,NA,NA,NA
AAD_brokeeast_106_1,AAD_brokeeast_106_1_234609,Chordata,Actinopteri,Perciformes,Channichthyidae,Chaenodraco wilsoni,HumanObservation,1,0.000224105,n_m3,NA,NA,NA
