"TID","CommonName","Subspecies","Longitude","Latitude","taxa","Year","Count","cv","Units","Region"
"MUSP1","Achiropsetta tricholepis",NA,NA,NA,"Unexploited small pelagics",1998,4.96e-06,NA,"Counts per m3","Antartica continental shelf"
"MUSP1","Achiropsetta tricholepis",NA,NA,NA,"Unexploited small pelagics",1999,4.81e-06,NA,"Counts per m3","Antartica continental shelf"
"MUSP10","Bathylagus gracilis",NA,NA,NA,"Unexploited small pelagics",2004,2.822e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP10","Bathylagus gracilis",NA,NA,NA,"Unexploited small pelagics",2006,1.775e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP100","Paraliparis thalassobathyalis",NA,NA,NA,"Unexploited small pelagics",1999,1.307e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP100","Paraliparis thalassobathyalis",NA,NA,NA,"Unexploited small pelagics",2000,4.91e-06,NA,"Counts per m3","Antartica continental shelf"
"MUSP101","Paranotothenia magellanica",NA,NA,NA,"Unexploited small pelagics",1998,9.6925e-06,NA,"Counts per m3","Antartica continental shelf"
"MUSP101","Paranotothenia magellanica",NA,NA,NA,"Unexploited small pelagics",1999,5.97666666666667e-06,NA,"Counts per m3","Antartica continental shelf"
"MUSP102","Patagonotothen guntheri",NA,NA,NA,"Unexploited small pelagics",2004,0.001825856,NA,"Counts per m3","Antartica continental shelf"
"MUSP103","Persparsia kopua",NA,NA,NA,"Unexploited small pelagics",1999,6.38e-06,NA,"Counts per m3","Antartica continental shelf"
"MUSP104","Phosichthys argenteus",NA,NA,NA,"Unexploited small pelagics",1999,2.3102e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP105","Pleuragramma antarctica",NA,NA,NA,"Unexploited small pelagics",1993,0.0003087735,NA,"Counts per m3","Antartica continental shelf"
"MUSP105","Pleuragramma antarctica",NA,NA,NA,"Unexploited small pelagics",1995,0.00104360025,NA,"Counts per m3","Antartica continental shelf"
"MUSP105","Pleuragramma antarctica",NA,NA,NA,"Unexploited small pelagics",1996,0.00535081593939394,NA,"Counts per m3","Antartica continental shelf"
"MUSP105","Pleuragramma antarctica",NA,NA,NA,"Unexploited small pelagics",1997,0.0005078095,NA,"Counts per m3","Antartica continental shelf"
"MUSP105","Pleuragramma antarctica",NA,NA,NA,"Unexploited small pelagics",1998,0.00060891975,NA,"Counts per m3","Antartica continental shelf"
"MUSP105","Pleuragramma antarctica",NA,NA,NA,"Unexploited small pelagics",1999,0.005638788,NA,"Counts per m3","Antartica continental shelf"
"MUSP105","Pleuragramma antarctica",NA,NA,NA,"Unexploited small pelagics",2001,0.00158446311111111,NA,"Counts per m3","Antartica continental shelf"
"MUSP105","Pleuragramma antarctica",NA,NA,NA,"Unexploited small pelagics",2002,0.00190569066666667,NA,"Counts per m3","Antartica continental shelf"
"MUSP105","Pleuragramma antarctica",NA,NA,NA,"Unexploited small pelagics",2003,0.00129634355172414,NA,"Counts per m3","Antartica continental shelf"
"MUSP105","Pleuragramma antarctica",NA,NA,NA,"Unexploited small pelagics",2004,0.00144045225,NA,"Counts per m3","Antartica continental shelf"
"MUSP105","Pleuragramma antarctica",NA,NA,NA,"Unexploited small pelagics",2005,0.000848115923076923,NA,"Counts per m3","Antartica continental shelf"
"MUSP105","Pleuragramma antarctica",NA,NA,NA,"Unexploited small pelagics",2006,0.00260298694871795,NA,"Counts per m3","Antartica continental shelf"
"MUSP105","Pleuragramma antarctica",NA,NA,NA,"Unexploited small pelagics",2007,0.00056924,NA,"Counts per m3","Antartica continental shelf"
"MUSP105","Pleuragramma antarctica",NA,NA,NA,"Unexploited small pelagics",2008,0.000964290928571429,NA,"Counts per m3","Antartica continental shelf"
"MUSP105","Pleuragramma antarctica",NA,NA,NA,"Unexploited small pelagics",2009,0.0003025672,NA,"Counts per m3","Antartica continental shelf"
"MUSP105","Pleuragramma antarctica",NA,NA,NA,"Unexploited small pelagics",2010,0.00113686,NA,"Counts per m3","Antartica continental shelf"
"MUSP105","Pleuragramma antarctica",NA,NA,NA,"Unexploited small pelagics",2011,0.0100545037692308,NA,"Counts per m3","Antartica continental shelf"
"MUSP105","Pleuragramma antarctica",NA,NA,NA,"Unexploited small pelagics",2014,0.0002863722,NA,"Counts per m3","Antartica continental shelf"
"MUSP105","Pleuragramma antarctica",NA,NA,NA,"Unexploited small pelagics",2015,0.000384657,NA,"Counts per m3","Antartica continental shelf"
"MUSP105","Pleuragramma antarctica",NA,NA,NA,"Unexploited small pelagics",2019,0.00103660775,NA,"Counts per m3","Antartica continental shelf"
"MUSP106","Pogonophryne marmorata",NA,NA,NA,"Unexploited small pelagics",2006,3.96666666666667e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP106","Pogonophryne marmorata",NA,NA,NA,"Unexploited small pelagics",2011,0.000911316,NA,"Counts per m3","Antartica continental shelf"
"MUSP107","Poromitra crassiceps",NA,NA,NA,"Unexploited small pelagics",1991,1.15533333333333e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP107","Poromitra crassiceps",NA,NA,NA,"Unexploited small pelagics",1999,9.6025e-06,NA,"Counts per m3","Antartica continental shelf"
"MUSP107","Poromitra crassiceps",NA,NA,NA,"Unexploited small pelagics",2004,1.685e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP107","Poromitra crassiceps",NA,NA,NA,"Unexploited small pelagics",2006,1.704e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP107","Poromitra crassiceps",NA,NA,NA,"Unexploited small pelagics",2008,1.696e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP107","Poromitra crassiceps",NA,NA,NA,"Unexploited small pelagics",2009,2.36033333333333e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP108","Prionodraco evansii",NA,NA,NA,"Unexploited small pelagics",2002,0.0005844175,NA,"Counts per m3","Antartica continental shelf"
"MUSP108","Prionodraco evansii",NA,NA,NA,"Unexploited small pelagics",2006,NA,NA,"Counts per m3","Antartica continental shelf"
"MUSP108","Prionodraco evansii",NA,NA,NA,"Unexploited small pelagics",2008,0.006104081,NA,"Counts per m3","Antartica continental shelf"
"MUSP109","Protomyctophum andriashevi",NA,NA,NA,"Unexploited small pelagics",1991,3.1e-06,NA,"Counts per m3","Antartica continental shelf"
"MUSP109","Protomyctophum andriashevi",NA,NA,NA,"Unexploited small pelagics",1998,5.97053402061856e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP109","Protomyctophum andriashevi",NA,NA,NA,"Unexploited small pelagics",1999,3.84574120879121e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP109","Protomyctophum andriashevi",NA,NA,NA,"Unexploited small pelagics",2000,4.61913698630137e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP109","Protomyctophum andriashevi",NA,NA,NA,"Unexploited small pelagics",2004,1.01133333333333e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP109","Protomyctophum andriashevi",NA,NA,NA,"Unexploited small pelagics",2006,3.17733333333333e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP109","Protomyctophum andriashevi",NA,NA,NA,"Unexploited small pelagics",2008,4.64e-06,NA,"Counts per m3","Antartica continental shelf"
"MUSP109","Protomyctophum andriashevi",NA,NA,NA,"Unexploited small pelagics",2009,1.5815e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP11","Bathylagus tenuis",NA,NA,NA,"Unexploited small pelagics",1998,1.899e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP11","Bathylagus tenuis",NA,NA,NA,"Unexploited small pelagics",1999,4.10775606060606e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP11","Bathylagus tenuis",NA,NA,NA,"Unexploited small pelagics",2000,2.99591707317073e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP11","Bathylagus tenuis",NA,NA,NA,"Unexploited small pelagics",2004,5.96933636363636e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP11","Bathylagus tenuis",NA,NA,NA,"Unexploited small pelagics",2006,1.257e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP110","Protomyctophum bolini",NA,NA,NA,"Unexploited small pelagics",1991,0.000109814461538462,NA,"Counts per m3","Antartica continental shelf"
"MUSP110","Protomyctophum bolini",NA,NA,NA,"Unexploited small pelagics",1996,0.000118805,NA,"Counts per m3","Antartica continental shelf"
"MUSP110","Protomyctophum bolini",NA,NA,NA,"Unexploited small pelagics",1998,0.000161000606896552,NA,"Counts per m3","Antartica continental shelf"
"MUSP110","Protomyctophum bolini",NA,NA,NA,"Unexploited small pelagics",1999,0.000160909457236842,NA,"Counts per m3","Antartica continental shelf"
"MUSP110","Protomyctophum bolini",NA,NA,NA,"Unexploited small pelagics",2000,0.00017664712244898,NA,"Counts per m3","Antartica continental shelf"
"MUSP110","Protomyctophum bolini",NA,NA,NA,"Unexploited small pelagics",2003,0.000708694,NA,"Counts per m3","Antartica continental shelf"
"MUSP110","Protomyctophum bolini",NA,NA,NA,"Unexploited small pelagics",2004,0.000127709484375,NA,"Counts per m3","Antartica continental shelf"
