stockid,tsn,scientificname,commonname,areaid,stocklong,region,primary_country,primary_FAOarea,ISO3_code,GRSF_uuid,GRSF_areaid,inmyersdb,myersstockid,state
ACADRED2J3K,166774,Sebastes fasciatus,Acadian redfish,Canada-DFO-2J3K,Acadian redfish NAFO Division 2J3K,Canada East Coast,Russian Federation,21,RUS,6ef91e5a-4a51-3ff8-bfc9-065cba1a5f79,fao:21.2.J;fao:21.3.K,0,NA,Current
ACADRED3LNO-UT12,166774,Sebastes fasciatus,Acadian redfish,Canada-DFO-3LNO-UT12,Acadian redfish NAFO Division 3LNO and Units 1 and 2,Canada East Coast,Canada,21,CAN,6d430af8-0240-3b76-a041-b1848a405267,fao:21.3.L;fao:21.3.N;fao:21.3.O;fao:21.3.P.n;fao:21.3.P.s;fao:21.4.R;fao:21.4.S;fao:21.4.T;fao:21.4.V.n;fao:21.4.V.s;nafo:4WF;nafo:4WG;nafo:4WJ,0,NA,Deprecated
ACADREDGOMGB,166774,Sebastes fasciatus,Acadian redfish,USA-NMFS-5YZ,Acadian redfish Gulf of Maine / Georges Bank,US East Coast,USA,21,USA,1dcb5911-42f2-3361-a031-45658fd864db,fao:21.5.Y;fao:21.5.Zu,0,NA,Current
ACADREDUT3,166774,Sebastes fasciatus,Acadian redfish,Canada-DFO-UT3,Acadian redfish Unit 3,Canada East Coast,Canada,21,CAN,5510fc9b-3a3c-30fb-aa2c-a2a389614daa,fao:21.4.W;fao:21.4.X,0,NA,Current
ACMACKSARG,172413,Scomber colias,Argentine chub mackerel,Argentina-CFP-ARG-S,Argentine chub mackerel Southern Argentina,South America,Argentina,41,ARG,58ff70a6-6e36-31a0-9f2f-3816c4e2aaaa,grsf:ARG_EEZ_39S_VMA,0,NA,Current
AFLONCH,166156,Beryx splendens,Alfonsino,multinational-SPRFMO-CHL,Alfonsino Chile,South America,Chile,87,CHL,19fa8693-aaef-3d5f-982c-0a43c7cd7ad0,chl:V;chl:VI;chl:VII;chl:VIII;chl:XVI,0,NA,Current
ALBAIO,172419,Thunnus alalunga,Albacore tuna,multinational-IOTC-IO,Albacore tuna Indian Ocean,Indian Ocean,Taiwan Province of China,57,TWN,69c20914-4411-3819-a5b7-f3500766833c,fao:51;fao:57,0,,Current
ALBAMED,172419,Thunnus alalunga,Albacore tuna,multinational-ICCAT-MED,Albacore tuna Mediterranean Sea,Mediterranean-Black Sea,Italy,37,ITA,f4853ef9-135c-3886-b91f-f97e5e01cdfa,fao:37,0,,Current
ALBANATL,172419,Thunnus alalunga,Albacore tuna,multinational-ICCAT-NATL,Albacore tuna Northern Atlantic,Atlantic Ocean,Spain,27,ESP,f44d5987-43a3-37f6-a768-988e735d88b5,iccat:ALB_N;iccat:SWO_N,0,NA,Current
ALBANPAC,172419,Thunnus alalunga,Albacore tuna,multinational-ISC-NPAC,Albacore tuna North Pacific Ocean,Pacific Ocean,Japan,61,JPN,74e5a6ca-6a25-383d-ba0e-3953c010f717,isc:NPALB,0,NA,Current
ALBASATL,172419,Thunnus alalunga,Albacore tuna,multinational-ICCAT-SATL,Albacore tuna South Atlantic,Atlantic Ocean,Taiwan Province of China,47,TWN,ebef3f5d-e25e-3ffe-b0a2-346768c548bf,fao:41;fao:47,0,,Current
ALBASPAC,172419,Thunnus alalunga,Albacore tuna,multinational-WCPFC-SPAC,Albacore tuna South Pacific Ocean,Pacific Ocean,China,81,CHN,63040ec0-2796-3afe-9751-7341a4bab177,wcpfc:SPALB,1,ALBASPAC,Current
