tsn,scientificname,kingdom,phylum,classname,ordername,family,genus,species,myersname,commonname1,commonname2,commonname3,commonname4,FisheryType,taxGroup,WoRMSscientificName,WoRMStaxonID,FAOscientificname,FAOcode
-999,Pseudocarcinus gigas,Animalia,Arthropoda,Malacostraca,Decapoda,Menippidae,Pseudocarcinus,gigas,TASGIANTCRAB,Tasmanian giant crab,NA,NA,NA,Invertebrate,crabs-lobsters,Pseudocarcinus gigas,440496,Pseudocarcinus gigas,GKT
-997,Haliotis iris,Animalia,Mollusca,Gastropoda,Archaeogastropoda,Haliotidae,Haliotis,iris,BFOOTABALONE,Blackfoot abalone,Paua,NA,NA,Invertebrate,bivalves-gastropods,Haliotis iris,445331,Haliotis iris,DZS
-996,Haliotis spp,Animalia,Mollusca,Gastropoda,Archaeogastropoda,Haliotidae,Haliotis,NA,PAUA,Paua,New Zealand abalone species,NA,NA,Invertebrate,bivalves-gastropods,Haliotis,138050,Haliotis spp,ABX
-995,Haliotis midae,Animalia,Mollusca,Gastropoda,Archaeogastropoda,Haliotidae,Haliotis,midae,SAABALONE,South African abalone,NA,NA,NA,Invertebrate,bivalves-gastropods,Haliotis midae,207660,Haliotis midae,ABP
-994,Sprattus fuegensis,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Sprattus,fuegensis,NA,Southern sardine,NA,NA,NA,Forage Fish,forage fish,Sprattus fuegensis,272281,Sprattus fuegensis,FAS
-993,Pleuroncodes monodon,Animalia,Arthropoda,Malacostraca,Decapoda,Munididae,Pleuroncodes,monodon,NA,Red squat lobster,NA,NA,NA,Invertebrate,crabs-lobsters,Pleuroncodes monodon,392682,Pleuroncodes monodon,PQG
-992,Cervimunida johni,Animalia,Arthropoda,Malacostraca,Decapoda,Munididae,Cervimunida,johni,NA,Blue squat lobster,Yellow squat lobster,NA,NA,Invertebrate,crabs-lobsters,Cervimunida johni,392199,Cervimunida johni,CZJ
-991,Zearaja chilensis,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Zearaja,chilensis,NA,Yellownose skate,NA,NA,NA,Sharks Rays and Skates,elasmobranchs,Zearaja chilensis,315953,Zearaja chilensis,DPV
-990,Sardinella spp,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Sardinella,NA,NA,Sardinella,NA,NA,NA,Forage Fish,forage fish,Sardinella,125721,Sardinella spp,SIX
-989,Pseudotolithus spp,Animalia,Chordata,Actinopterygii,Perciformes,Sciaenidae,Pseudotolithus,NA,NA,Croaker,NA,NA,NA,Other Marine,other marine percoidids,Pseudotolithus,126053,Pseudotolithus spp,CKW
-988,Pomadasys spp,Animalia,Chordata,Actinopterygii,Perciformes,Haemulidae,Pomadasys,NA,NA,Grey grunt,NA,NA,NA,Other Marine,other marine percoidids,Pomadasys,126011,Pomadasys spp,BGX
-987,Arius spp,Animalia,Chordata,Actinopterygii,Siluriformes,Ariidae,Arius,NA,NA,Catfish,NA,NA,NA,Other Marine,other marine fish,Arius,158710,Arius spp,AWX
-986,Cynoglossus spp,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Cynoglossidae,Cynoglossus,NA,NA,Sole,NA,NA,NA,Flatfish,pleuronectids,Cynoglossus,126112,Cynoglossus spp,YOX
