"Group","Year","estimate","conf.low","conf.high","n_stocks","fraction","Abundance_Index","Upper_Bound","Lower_Bound"
"Marine Mammals",1950,-0.687900740953575,-1.13156819018455,-0.225779429187553,1,0.00202020202020202,0.595054903937933,0.944612687119687,0.381834102483149
"Marine Mammals",1951,-0.69478058271815,-1.11428008227098,-0.253141532047625,3,0.00606060606060606,0.590975070753258,0.919116502916159,0.388492682939215
"Marine Mammals",1952,-0.7144565227917,-1.09682729125185,-0.285705590075317,1,0.00202020202020202,0.579460729888517,0.88966841660383,0.395332477685309
"Marine Mammals",1953,-0.740853161945715,-1.13236337768602,-0.303666629712809,1,0.00202020202020202,0.564365028513653,0.873831694644596,0.381530593466499
"Marine Mammals",1954,-0.772971578877121,-1.15832442294823,-0.379772628486979,2,0.00404040404040404,0.546526522984998,0.809795534518387,0.371753126237158
"Marine Mammals",1955,-0.831701174806139,-1.16841603711648,-0.46593171320481,1,0.00202020202020202,0.51535358761073,0.742945510263335,0.3680204033992
"Marine Mammals",1956,-0.894750490340324,-1.20659849565041,-0.551962078903627,3,0.00606060606060606,0.48386402512811,0.681701813662298,0.354233366066997
"Marine Mammals",1957,-0.972535419307264,-1.25313948232669,-0.677786842603634,2,0.00404040404040404,0.447653277428018,0.601103765974988,0.338124758524934
"Marine Mammals",1958,-1.0594516747127,-1.30108093672928,-0.797123891177819,5,0.0101010101010101,0.41038787253036,0.533484771912454,0.322297000115611
"Marine Mammals",1959,-1.13379504102561,-1.37726335813595,-0.892342467548257,5,0.0101010101010101,0.380984760920357,0.48503058471622,0.298655596888957
"Marine Mammals",1960,-1.22654394076516,-1.43603298339139,-1.02265586185924,18,0.0363636363636364,0.34723801847339,0.425769685587909,0.281609521083068
"Marine Mammals",1961,-1.31207875758927,-1.50117011328132,-1.11778585874241,22,0.0444444444444444,0.318771855430558,0.387133099023187,0.263850935253607
"Marine Mammals",1962,-1.37677116781849,-1.57885854666049,-1.18266363425846,7,0.0141414141414141,0.298802628462792,0.362814173156277,0.244128779550703
"Marine Mammals",1963,-1.42247973542006,-1.62724232729055,-1.21330640820573,9,0.0181818181818182,0.285452226500896,0.351865151391749,0.232598104409113
"Marine Mammals",1964,-1.43809937932253,-1.62427495169162,-1.24471448271178,24,0.0484848484848485,0.281028205135838,0.340985493409071,0.233289335412291
"Marine Mammals",1965,-1.38137127436344,-1.5635903644109,-1.20926020324312,24,0.0484848484848485,0.297431261172065,0.353291754130684,0.247884782955988
"Marine Mammals",1966,-1.3446378882268,-1.50826791137255,-1.17784418874376,26,0.0525252525252525,0.30856006653827,0.364566956625312,0.26198480513084
"Marine Mammals",1967,-1.31873051327236,-1.48109226319352,-1.14730884744558,25,0.0505050505050505,0.316658499485564,0.375870838716074,0.269202034299304
"Marine Mammals",1968,-1.32079339486262,-1.48975447837655,-1.15630907230369,28,0.0565656565656566,0.31600594380054,0.372503094610512,0.266880218900692
"Marine Mammals",1969,-1.28177287518498,-1.45150343675433,-1.12636160006339,27,0.0545454545454545,0.32858039531643,0.38382734063327,0.277286420505596
"Marine Mammals",1970,-1.16694847111358,-1.31042759361782,-1.02406633947569,57,0.115151515151515,0.368560894137513,0.425169570300705,0.319298634813245
"Marine Mammals",1971,-1.14785253726872,-1.30772980198593,-0.994921517432117,42,0.0848484848484849,0.375666537109636,0.437743402793854,0.32016119898437
"Marine Mammals",1972,-1.06560670441225,-1.22684188459196,-0.917937045277276,33,0.0666666666666667,0.407869680709334,0.47277395246291,0.347134576460075
"Marine Mammals",1973,-0.993524228729212,-1.14084083651579,-0.849088877965492,42,0.0848484848484849,0.438355484233002,0.506470226836733,0.378309854697045
"Marine Mammals",1974,-0.887713203531511,-1.03852642536202,-0.746919631253255,59,0.119191919191919,0.487281124501387,0.560951689316813,0.419065818539743
"Marine Mammals",1975,-0.798293483459444,-0.93486971087268,-0.661255621920998,64,0.129292929292929,0.532861176987853,0.611123334654994,0.464836024026967
"Marine Mammals",1976,-0.758627954477215,-0.890331602763289,-0.624161076341226,71,0.143434343434343,0.554422184990004,0.634218378952661,0.486006896925595
"Marine Mammals",1977,-0.70463548325893,-0.839833821330787,-0.573861968968059,67,0.135353535353535,0.585179673643513,0.666934905900401,0.511179395667989
"Marine Mammals",1978,-0.626073601773413,-0.763936305481998,-0.494879970304242,80,0.161616161616162,0.633006579341513,0.721746845180433,0.551486915041473
"Marine Mammals",1979,-0.610449028246894,-0.736857404022427,-0.47876476093578,98,0.197979797979798,0.642974708274718,0.733472170987219,0.56662460590371
"Marine Mammals",1980,-0.647945165611719,-0.79302376656213,-0.51785689365896,69,0.139393939393939,0.619312041917739,0.705352391555685,0.535676616304846
"Marine Mammals",1981,-0.652606303068068,-0.794969721715497,-0.512646618489096,75,0.151515151515152,0.616432060570707,0.709037062346143,0.53463522720967
"Marine Mammals",1982,-0.651734130899654,-0.781197582504581,-0.528202453940908,89,0.17979797979798,0.616969929980923,0.698092743184029,0.542049234168524
"Marine Mammals",1983,-0.68499328342322,-0.829252079456285,-0.542756036507256,53,0.107070707070707,0.596787518330215,0.688006565840593,0.516617284511134
"Marine Mammals",1984,-0.638664957624082,-0.759745815446347,-0.521395508178047,116,0.234343434343434,0.62508613743989,0.702860832275674,0.553802764346566
"Marine Mammals",1985,-0.57401564124965,-0.703379862704402,-0.455708136983064,131,0.264646464646465,0.666832424366226,0.750580029865138,0.585914898755117
"Marine Mammals",1986,-0.561272963386091,-0.678077397399693,-0.450810521549644,121,0.244444444444444,0.67538402456807,0.754265098862789,0.600929137763616
"Marine Mammals",1987,-0.549262844045549,-0.667882785132204,-0.428565601243274,118,0.238383838383838,0.683544372591475,0.771231676324268,0.607086711029646
"Marine Mammals",1988,-0.507086847827639,-0.628018816605275,-0.393529143788315,137,0.276767676767677,0.712990124680486,0.798731843251374,0.631776442382929
"Marine Mammals",1989,-0.486716920915554,-0.607029265324671,-0.37046604966214,149,0.301010101010101,0.727662612825586,0.817367138708504,0.645177293354836
"Marine Mammals",1990,-0.436880673507608,-0.550478581909895,-0.326366287701717,174,0.351515151515152,0.764845417102234,0.854219451772535,0.682713866756741
"Marine Mammals",1991,-0.398455214899717,-0.5110839540748,-0.289250341991369,172,0.347474747474747,0.794806908583145,0.886520345641073,0.710145915488918
"Marine Mammals",1992,-0.382170731165228,-0.493653257001745,-0.279417755110944,202,0.408080808080808,0.807855888343127,0.895280129052205,0.722632764910113
"Marine Mammals",1993,-0.335071918399879,-0.439661122712952,-0.234136902779842,170,0.343434343434343,0.846815208755545,0.936751009174787,0.762721757002709
"Marine Mammals",1994,-0.301499811570235,-0.419372357376295,-0.194664393300857,183,0.36969696969697,0.875727181860528,0.974466385708554,0.778354487908881
"Marine Mammals",1995,-0.262964262348519,-0.370712508395232,-0.15752381525357,181,0.365656565656566,0.910132465517164,1.01133912957846,0.817165716261206
"Marine Mammals",1996,-0.211913509552074,-0.323929206530186,-0.107101613005856,202,0.408080808080808,0.957801839272226,1.06364057221413,0.856303792737228
"Marine Mammals",1997,-0.213522711822888,-0.319727593305088,-0.107650011896325,205,0.414141414141414,0.956261781841773,1.06305743281558,0.859909219076942
"Marine Mammals",1998,-0.214869778707824,-0.330543530136691,-0.102810990986555,191,0.385858585858586,0.954974500483826,1.0682140564036,0.850658612452228
"Marine Mammals",1999,-0.23792098412394,-0.351987012655464,-0.135182133471118,183,0.36969696969697,0.933212965501284,1.03418844219161,0.832611715057224
"Marine Mammals",2000,-0.16995683534924,-0.279752541832067,-0.0665219943140263,212,0.428282828282828,0.998842973308778,1.10769041946781,0.894980451320175
"Marine Mammals",2001,-0.125869026143416,-0.233728713422473,-0.0268286509062511,184,0.371717171717172,1.04386493933907,1.15254263405814,0.937133459017905
"Marine Mammals",2002,-0.0932971239938298,-0.196720824336658,0.0112362969190193,193,0.38989898989899,1.07842540051879,1.19725978811467,0.972464521842604
"Marine Mammals",2003,-0.0738358161467338,-0.182375694509973,0.0392238860257398,192,0.387878787878788,1.09961852328109,1.23124151832652,0.986515190042083
"Marine Mammals",2004,-0.0914505645449156,-0.194630763637093,0.0174611551572635,196,0.395959595959596,1.08041861686193,1.20473580500211,0.974499157236498
"Marine Mammals",2005,-0.0356746667336508,-0.142318248058079,0.07770782110168,216,0.436363636363636,1.14239218538132,1.27954808869744,1.02683462501185
"Marine Mammals",2006,-0.00100276250700292,-0.113480875703358,0.113984082164797,169,0.341414141414141,1.18269576121546,1.326817504402,1.05687692606324
"Marine Mammals",2007,0.0492522394625028,-0.0538692202461895,0.152405259514927,193,0.38989898989899,1.2436509625857,1.37878737389017,1.12179481779808
"Marine Mammals",2008,0.0618409425840339,-0.0551417014271145,0.17204445554764,171,0.345454545454545,1.25940587422986,1.40613329644695,1.12036826282824
"Marine Mammals",2009,0.097804596976259,-0.016343968697756,0.209554005054298,140,0.282828282828283,1.30552301173576,1.45987839891936,1.16469024796307
"Marine Mammals",2010,0.11149367683759,-0.00433633598388201,0.228804366243261,135,0.272727272727273,1.32351730214714,1.48825382775085,1.17875972217733
"Marine Mammals",2011,0.122611127562048,0.00440725890260874,0.240733223953277,110,0.222222222222222,1.33831353634093,1.50611330570448,1.18911150962464
"Marine Mammals",2012,0.164958706615224,0.0464301226930434,0.288511196698122,118,0.238383838383838,1.39620500517227,1.57981908210209,1.24014618212479
"Marine Mammals",2013,0.169737466458695,0.0491159403612363,0.291306903570295,137,0.276767676767677,1.402893101259,1.58424197283896,1.24348146562861
"Marine Mammals",2014,0.16870459784631,0.0464924944828456,0.286002959196715,113,0.228282828282828,1.40144484506611,1.57586148600525,1.24022353467407
"Marine Mammals",2015,0.161168238820493,0.0378710253869599,0.288131186367012,109,0.22020202020202,1.39092275249411,1.5792188485843,1.22957694636037
"Marine Mammals",2016,0.166959106823857,0.0276299863543569,0.300190406397556,81,0.163636363636364,1.39900076934724,1.59837828791549,1.21704905963993
"Marine Mammals",2017,0.145957436526337,0.0181453094863931,0.279540781007712,68,0.137373737373737,1.36992579660651,1.56571082130758,1.20556031223149
"Marine Mammals",2018,0.146442967277676,-0.00647633908786608,0.290323657052781,63,0.127272727272727,1.37059109920718,1.58268503798709,1.17623986992051
"Marine Mammals",2019,0.150766386221937,-0.00680354909305019,0.296671595251553,32,0.0646464646464646,1.37652956672167,1.5927637805692,1.17585505542758
"Marine Mammals",2020,0.159710672811454,-0.0175926335588775,0.330053513349489,24,0.0484848484848485,1.38889686755805,1.64683069865012,1.16323684777006
"Marine Mammals",2021,0.200758283151022,-0.0217832167340701,0.414207941559421,4,0.00808080808080808,1.44709402084853,1.79141727506645,1.1583724065485
"Marine Mammals",2022,0.225937560284172,-0.00860195426346783,0.452103116609653,5,0.0101010101010101,1.48399340263276,1.86060602657356,1.17374229198802
"Marine Mammals",2023,0.243257536040347,-0.014016406256254,0.488687901020892,9,0.0181818181818182,1.50992000835792,1.92993638224618,1.16740429457139
"Marine Mammals",2024,0.260319948256962,-0.0280811947400098,0.560013970175132,3,0.00606060606060606,1.53590392976398,2.07261917411137,1.15109992760386
