"Group","Year","estimate","conf.low","conf.high","n_stocks","fraction","Abundance_Index","Upper_Bound","Lower_Bound"
"Marine Mammals",1950,-0.687900740953575,-1.13156819018455,-0.225779429187553,1,0.00202020202020202,0.574875445516624,0.912579050697524,0.368885372300597
"Marine Mammals",1951,-0.69478058271815,-1.11428008227098,-0.253141532047625,3,0.00606060606060606,0.570933967336792,0.887947491229684,0.375318147462783
"Marine Mammals",1952,-0.7144565227917,-1.09682729125185,-0.285705590075317,1,0.00202020202020202,0.559810099958096,0.859498046268589,0.381925991589236
"Marine Mammals",1953,-0.740853161945715,-1.13236337768602,-0.303666629712809,1,0.00202020202020202,0.545226322905203,0.844198378067237,0.368592155859543
"Marine Mammals",1954,-0.772971578877121,-1.15832442294823,-0.379772628486979,2,0.00404040404040404,0.527992755472566,0.782333807524066,0.359146261384437
"Marine Mammals",1955,-0.831701174806139,-1.16841603711648,-0.46593171320481,1,0.00202020202020202,0.497876954404884,0.717750796406778,0.355540122370608
"Marine Mammals",1956,-0.894750490340324,-1.20659849565041,-0.551962078903627,3,0.00606060606060606,0.467455263664212,0.65858399156976,0.342220630040986
"Marine Mammals",1957,-0.972535419307264,-1.25313948232669,-0.677786842603634,2,0.00404040404040404,0.432472492194184,0.580719178986273,0.326658296420824
"Marine Mammals",1958,-1.0594516747127,-1.30108093672928,-0.797123891177819,5,0.0101010101010101,0.396470828984409,0.515393275309424,0.311367287798133
"Marine Mammals",1959,-1.13379504102561,-1.37726335813595,-0.892342467548257,5,0.0101010101010101,0.36806483354682,0.468582262968811,0.28852761011021
"Marine Mammals",1960,-1.22654394076516,-1.43603298339139,-1.02265586185924,18,0.0363636363636364,0.335462508163819,0.411331015121509,0.272059599581483
"Marine Mammals",1961,-1.31207875758927,-1.50117011328132,-1.11778585874241,22,0.0444444444444444,0.307961687562056,0.374004669657171,0.254903241617039
"Marine Mammals",1962,-1.37677116781849,-1.57885854666049,-1.18266363425846,7,0.0141414141414141,0.288669655560057,0.35051044542726,0.235849902217222
"Marine Mammals",1963,-1.42247973542006,-1.62724232729055,-1.21330640820573,9,0.0181818181818182,0.27577199145397,0.339932726088759,0.22471025448848
"Marine Mammals",1964,-1.43809937932253,-1.62427495169162,-1.24471448271178,24,0.0484848484848485,0.271497997178178,0.329422018272606,0.225378044516387
"Marine Mammals",1965,-1.38137127436344,-1.5635903644109,-1.20926020324312,24,0.0484848484848485,0.287344793976686,0.341310949979854,0.23947853230948
"Marine Mammals",1966,-1.3446378882268,-1.50826791137255,-1.17784418874376,26,0.0525252525252525,0.298096200108501,0.35220378863137,0.253100395562636
"Marine Mammals",1967,-1.31873051327236,-1.48109226319352,-1.14730884744558,25,0.0505050505050505,0.305919999589444,0.363124334298652,0.260072874582907
"Marine Mammals",1968,-1.32079339486262,-1.48975447837655,-1.15630907230369,28,0.0565656565656566,0.305289573325128,0.359870796885114,0.257829796418436
"Marine Mammals",1969,-1.28177287518498,-1.45150343675433,-1.12636160006339,27,0.0545454545454545,0.317437600960034,0.370811015904218,0.267883103674902
"Marine Mammals",1970,-1.16694847111358,-1.31042759361782,-1.02406633947569,57,0.115151515151515,0.356062284026496,0.410751250900074,0.30847060284081
"Marine Mammals",1971,-1.14785253726872,-1.30772980198593,-0.994921517432117,42,0.0848484848484849,0.362926960953363,0.422898680504493,0.309303915798791
"Marine Mammals",1972,-1.06560670441225,-1.22684188459196,-0.917937045277276,33,0.0666666666666667,0.394038033900412,0.456741276732877,0.335362574068502
"Marine Mammals",1973,-0.993524228729212,-1.14084083651579,-0.849088877965492,42,0.0848484848484849,0.423490005082602,0.489294845512342,0.365480638547897
"Marine Mammals",1974,-0.887713203531511,-1.03852642536202,-0.746919631253255,59,0.119191919191919,0.470756482613232,0.541928736617792,0.404854489122825
"Marine Mammals",1975,-0.798293483459444,-0.93486971087268,-0.661255621920998,64,0.129292929292929,0.51479082769034,0.590398964785338,0.449072538746023
"Marine Mammals",1976,-0.758627954477215,-0.890331602763289,-0.624161076341226,71,0.143434343434343,0.535620660364599,0.612710811628352,0.469525466549882
"Marine Mammals",1977,-0.70463548325893,-0.839833821330787,-0.573861968968059,67,0.135353535353535,0.565335103310359,0.644317858104858,0.493844317354294
"Marine Mammals",1978,-0.626073601773413,-0.763936305481998,-0.494879970304242,80,0.161616161616162,0.61154010647707,0.697271018905167,0.53278493107608
"Marine Mammals",1979,-0.610449028246894,-0.736857404022427,-0.47876476093578,98,0.197979797979798,0.62117019695027,0.70859871631997,0.547409273671918
