"Group","Year","estimate","conf.low","conf.high","n_stocks","fraction","Abundance_Index","Upper_Bound","Lower_Bound"
"marine birds",1950,-0.749495972129515,-0.943184636472622,-0.579587110780342,65,0.00554229195088677,0.49518549093813,0.586892273704903,0.407990445892601
"marine birds",1951,-0.721829222219553,-0.879466609160141,-0.555616931517181,17,0.00144952251023192,0.509076943660497,0.601130147189532,0.434832884848156
"marine birds",1952,-0.69745340334219,-0.840012006483945,-0.543325357731013,17,0.00144952251023192,0.52163858924834,0.608564579584981,0.452331983582632
"marine birds",1953,-0.661725795793061,-0.797649150506024,-0.529273206937468,32,0.00272851296043656,0.540612414501105,0.617176587731234,0.471905730993364
"marine birds",1954,-0.630332069387619,-0.770757251991381,-0.491812298401861,28,0.00238744884038199,0.557853467185698,0.640735089938063,0.484768346951205
"marine birds",1955,-0.604396556582389,-0.737216546406143,-0.466370258369337,42,0.00358117326057299,0.572510935805895,0.657245840733633,0.501303570771166
"marine birds",1956,-0.580994743713037,-0.723519399216498,-0.458720937316479,57,0.00486016371077763,0.586066725982886,0.662292602723393,0.50821724025077
"marine birds",1957,-0.569499136357683,-0.717759506753041,-0.44923772247241,30,0.00255798090040928,0.592842791824297,0.668603140564855,0.511152963511452
"marine birds",1958,-0.575829715470848,-0.696465210843845,-0.46546395478362,43,0.00366643929058663,0.589101608053275,0.657841775003679,0.522154323369408
"marine birds",1959,-0.567604766953871,-0.678661047494736,-0.457893690710419,72,0.00613915416098226,0.593966919490755,0.662840708709366,0.531534095966045
"marine birds",1960,-0.572265838491987,-0.669160342169027,-0.476302103064987,98,0.00835607094133697,0.59120483931503,0.650750485936709,0.536608109971906
"marine birds",1961,-0.551615940940516,-0.664394461444373,-0.451685949537386,64,0.00545702592087312,0.603540081090364,0.666968250368212,0.539171624068904
"marine birds",1962,-0.546001411237797,-0.664296988624718,-0.44803156799508,71,0.00605388813096862,0.606938205310543,0.669410065776805,0.539224181208785
"marine birds",1963,-0.545220959650558,-0.659439450936225,-0.442080376012684,63,0.00537175989085948,0.607412076088781,0.673405731286703,0.541849854983336
"marine birds",1964,-0.534974970516484,-0.658399837713611,-0.416622894435568,68,0.00579809004092769,0.613667605940217,0.690769020362632,0.54241346217323
"marine birds",1965,-0.51643034701777,-0.628194003334735,-0.384964233041641,115,0.0098055934515689,0.625154017047967,0.712987693880756,0.559047470720736
"marine birds",1966,-0.482028120245491,-0.610703330828116,-0.350195148815641,84,0.00716234652114598,0.647034925307931,0.738213623061294,0.56891160060823
"marine birds",1967,-0.452056286264121,-0.580530775670755,-0.32657973608115,97,0.00827080491132333,0.666721293261,0.755854318785678,0.586338705304365
"marine birds",1968,-0.440812217898913,-0.551784528705832,-0.326179401075591,72,0.00613915416098226,0.674260257951633,0.756156974306349,0.603438340193191
"marine birds",1969,-0.426468939630468,-0.534890562902066,-0.3300876639702,111,0.00946452933151432,0.684001050911873,0.75320748151213,0.613719406345024
"marine birds",1970,-0.332678657993281,-0.408336540554116,-0.252236396103734,455,0.0387960436562074,0.751258451482331,0.814188569933605,0.69651675792106
"marine birds",1971,-0.292951940820346,-0.390787180999851,-0.22067084401091,166,0.0141541609822647,0.781704234969773,0.840298805705669,0.708848067754949
"marine birds",1972,-0.272096399176417,-0.354684329426085,-0.183640818661577,200,0.0170532060027285,0.798178290757163,0.871998387762563,0.734907076174364
"marine birds",1973,-0.260021472163794,-0.347683144738713,-0.173420156281513,214,0.0182469304229195,0.807874659016919,0.880956489766328,0.740070349768242
"marine birds",1974,-0.286531900854273,-0.370330708447004,-0.205645116862782,237,0.0202080491132333,0.78673895164813,0.853020241348618,0.723497930180997
"marine birds",1975,-0.294981493027091,-0.382801532331563,-0.218340157158771,301,0.0256650750341064,0.780119334278045,0.84225956315221,0.714531341494812
"marine birds",1976,-0.313283757571506,-0.394347139485036,-0.234469811870256,225,0.0191848567530696,0.765971249771778,0.82878318406494,0.706329084459735
"marine birds",1977,-0.314529482250247,-0.381755687989847,-0.23803782449567,339,0.0289051841746248,0.765017654564592,0.825831344432588,0.715279020965315
"marine birds",1978,-0.265836669260472,-0.325576439036255,-0.196157356473559,380,0.0324010914051842,0.8031903419594,0.861152008133002,0.756613045740698
"marine birds",1979,-0.259704197962571,-0.32613143610573,-0.187152901238876,370,0.0315484311050478,0.808131017469858,0.868941229056816,0.756193244222667
"marine birds",1980,-0.214526869210661,-0.280356207792948,-0.146225109983653,681,0.0580661664392906,0.845477472902448,0.905242880275947,0.791612643655978
"marine birds",1981,-0.171458161337637,-0.235358370923121,-0.107252057801151,871,0.0742667121418827,0.882686618642078,0.941219463293308,0.828047088344566
"marine birds",1982,-0.218153030856807,-0.266941916200963,-0.161822003201729,1567,0.133611869031378,0.842417186816864,0.891233439608083,0.802303108687566
"marine birds",1983,-0.13492102203776,-0.194684240321179,-0.0798416714983075,940,0.080150068212824,0.91553388101183,0.967375488121851,0.862421519905408
"marine birds",1984,-0.177311584361329,-0.233124428746807,-0.122737148010316,1038,0.088506139154161,0.877534972556757,0.926756861340936,0.829898965382153
"marine birds",1985,-0.196308855873062,-0.236510698260941,-0.150862425521656,1486,0.126705320600273,0.861021554003,0.901054701859456,0.827093456601152
"marine birds",1986,-0.228800423716604,-0.286053795178414,-0.168635180785496,857,0.0730729877216917,0.833495222196031,0.885181946273676,0.78711518593904
"marine birds",1987,-0.242699719539669,-0.294471559263301,-0.186679158827793,1030,0.0878240109140518,0.821990365457638,0.869352980894212,0.780517244911789
"marine birds",1988,-0.268213265302144,-0.312699558651777,-0.220872228109019,1096,0.0934515688949522,0.801283749469475,0.840129599926789,0.766418860082438
"marine birds",1989,-0.219919803410959,-0.27010441973634,-0.171110926719744,1023,0.0872271487039563,0.840930141274491,0.882993171212573,0.799769830132457
