"Group","Year","estimate","Prior_Label","Abundance_Index"
"marine birds",1950,-0.749495972129515,"omega[j*"",""*t] %~% plain(exponential)(1) * ',  ' * w[t] %~% plain(exponential)(1)",0.49518549093813
"marine birds",1951,-0.721829222219553,"omega[j*"",""*t] %~% plain(exponential)(1) * ',  ' * w[t] %~% plain(exponential)(1)",0.509076943660497
"marine birds",1952,-0.69745340334219,"omega[j*"",""*t] %~% plain(exponential)(1) * ',  ' * w[t] %~% plain(exponential)(1)",0.52163858924834
"marine birds",1953,-0.661725795793061,"omega[j*"",""*t] %~% plain(exponential)(1) * ',  ' * w[t] %~% plain(exponential)(1)",0.540612414501105
"marine birds",1954,-0.630332069387619,"omega[j*"",""*t] %~% plain(exponential)(1) * ',  ' * w[t] %~% plain(exponential)(1)",0.557853467185698
"marine birds",1955,-0.604396556582389,"omega[j*"",""*t] %~% plain(exponential)(1) * ',  ' * w[t] %~% plain(exponential)(1)",0.572510935805895
"marine birds",1956,-0.580994743713037,"omega[j*"",""*t] %~% plain(exponential)(1) * ',  ' * w[t] %~% plain(exponential)(1)",0.586066725982886
"marine birds",1957,-0.569499136357683,"omega[j*"",""*t] %~% plain(exponential)(1) * ',  ' * w[t] %~% plain(exponential)(1)",0.592842791824297
"marine birds",1958,-0.575829715470848,"omega[j*"",""*t] %~% plain(exponential)(1) * ',  ' * w[t] %~% plain(exponential)(1)",0.589101608053275
"marine birds",1959,-0.567604766953871,"omega[j*"",""*t] %~% plain(exponential)(1) * ',  ' * w[t] %~% plain(exponential)(1)",0.593966919490755
"marine birds",1960,-0.572265838491987,"omega[j*"",""*t] %~% plain(exponential)(1) * ',  ' * w[t] %~% plain(exponential)(1)",0.59120483931503
"marine birds",1961,-0.551615940940516,"omega[j*"",""*t] %~% plain(exponential)(1) * ',  ' * w[t] %~% plain(exponential)(1)",0.603540081090364
"marine birds",1962,-0.546001411237797,"omega[j*"",""*t] %~% plain(exponential)(1) * ',  ' * w[t] %~% plain(exponential)(1)",0.606938205310543
"marine birds",1963,-0.545220959650558,"omega[j*"",""*t] %~% plain(exponential)(1) * ',  ' * w[t] %~% plain(exponential)(1)",0.607412076088781
"marine birds",1964,-0.534974970516484,"omega[j*"",""*t] %~% plain(exponential)(1) * ',  ' * w[t] %~% plain(exponential)(1)",0.613667605940217
"marine birds",1965,-0.51643034701777,"omega[j*"",""*t] %~% plain(exponential)(1) * ',  ' * w[t] %~% plain(exponential)(1)",0.625154017047967
"marine birds",1966,-0.482028120245491,"omega[j*"",""*t] %~% plain(exponential)(1) * ',  ' * w[t] %~% plain(exponential)(1)",0.647034925307931
"marine birds",1967,-0.452056286264121,"omega[j*"",""*t] %~% plain(exponential)(1) * ',  ' * w[t] %~% plain(exponential)(1)",0.666721293261
