"Group","Year","estimate","conf.low","conf.high","n_stocks","fraction","Abundance_Index","Upper_Bound","Lower_Bound"
"turtle",1956,1.13670059178817,0.441545863950824,1.98641878290225,1,0.00328947368421053,3.46858983923896,8.11298866351938,1.73081673305554
"turtle",1957,1.1068733925493,0.435043630700764,1.90701051984098,1,0.00328947368421053,3.36665922821679,7.49366542027537,1.71959906840279
"turtle",1958,1.06300830538037,0.468108903709385,1.72596546632415,1,0.00328947368421053,3.22217255500397,6.25269768054749,1.77740855744435
"turtle",1959,0.991713803199371,0.410489499754864,1.64532197606476,1,0.00328947368421053,3.0004471764787,5.76825442787437,1.67788996858429
"turtle",1960,0.902243893749358,0.349766239572174,1.57566248759401,1,0.00328947368421053,2.74365624518077,5.38011646000683,1.57903479757299
"turtle",1961,0.795809671878475,0.257375948952915,1.3805669980949,1,0.00328947368421053,2.46664075082687,4.42652358097002,1.43968376544341
"turtle",1962,0.662096485686433,0.147870608226669,1.18528791562083,1,0.00328947368421053,2.1579183256421,3.64128065769218,1.29035598983211
"turtle",1963,0.506554249583044,0.0474957835076292,1.00243253545232,1,0.00328947368421053,1.84707218503847,3.03278114641217,1.16712483295231
"turtle",1964,0.323595169858222,-0.0749669963337275,0.750055502589184,2,0.00657894736842105,1.53824584120302,2.35632460844869,1.03260066436439
"turtle",1965,0.152940979739128,-0.190162962482133,0.51720879121213,4,0.0131578947368421,1.29691518881938,1.86685710498874,0.920244917866857
"turtle",1966,0.021548893878217,-0.311635509787723,0.355765010110224,4,0.0131578947368421,1.1372310758592,1.58853553287021,0.814983039325876
"turtle",1967,-0.0592615720505215,-0.370439288799818,0.276263804038118,7,0.0230263157894737,1.04894611606048,1.4671347326267,0.768440797340585
"turtle",1968,-0.163439693293246,-0.452657303728338,0.149022921677571,8,0.0263157894736842,0.94516840585974,1.29184374140909,0.707788633197871
"turtle",1969,-0.274650588948076,-0.553269477530326,-0.0099415027007958,9,0.0296052631578947,0.845689459626813,1.10197721060597,0.640041702660959
"turtle",1970,-0.454217560683897,-0.747663598448941,-0.187833459397264,13,0.0427631578947368,0.706685162132919,0.922391130075292,0.5269676775404
"turtle",1971,-0.528752406754674,-0.801188417281295,-0.278962763316088,15,0.0493421052631579,0.655927592400815,0.842050550659446,0.499503395012659
"turtle",1972,-0.585534504802476,-0.847688980484844,-0.340064876476566,15,0.0493421052631579,0.6197203372755,0.79213983509449,0.476807970223451
"turtle",1973,-0.599026460624139,-0.826061822564918,-0.372930176789947,20,0.0657894736842105,0.611415249782827,0.766529079313543,0.487232289377052
"turtle",1974,-0.581497226160167,-0.801219343770748,-0.354779570883711,23,0.0756578947368421,0.62222737836379,0.780569078344585,0.499487947365053
"turtle",1975,-0.616318882025885,-0.848009157251209,-0.391986279116627,23,0.0756578947368421,0.600933290062935,0.752060319664124,0.476655331826305
"turtle",1976,-0.538242905324793,-0.755581767287566,-0.326388215624178,24,0.0789473684210526,0.649731958851801,0.803048087165976,0.522811534732295
